yoa	country	gender	perc
2008	CO	F	0.0
2008	CO	M	0.0
2008	CT	F	0.0
2008	CT	M	0.0
2008	CU	F	0.0178
2008	CU	M	0.0105
2008	DA	F	0.0
2008	DA	M	0.0
2008	DC	F	0.0296
2008	DC	M	0.0244
2008	DJ	F	0.0
2008	DJ	M	0.0
2008	EC	F	0.0
2008	EC	M	0.0
2008	EG	F	0.0
2008	EG	M	0.0
2008	ER	F	0.0039
2008	ER	M	0.0087
2008	ET	F	0.0099
2008	ET	M	0.0087
2008	GA	F	0.0
2008	GA	M	0.0
2008	GB	F	0.0
2008	GB	M	0.0
2008	GG	F	0.0
2008	GG	M	0.0
2008	GH	F	0.0
2008	GH	M	0.0
2008	GT	F	0.0
2008	GT	M	0.0
2008	GU	F	0.0
2008	GU	M	0.0
2008	HA	F	0.0
2008	HA	M	0.0
2008	HK	F	0.0
2008	HK	M	0.0
2008	HO	F	0.0
2008	HO	M	0.0
2008	ID	F	0.0
2008	ID	M	0.0
2008	IN	F	0.0059
2008	IN	M	0.0017
2008	IR	F	0.0099
2008	IR	M	0.0052
2008	IS	F	0.0
2008	IS	M	0.0
2008	IV	F	0.0
2008	IV	M	0.0
2008	IZ	F	0.1775
2008	IZ	M	0.2024
2008	JO	F	0.0
2008	JO	M	0.007
2008	KA	F	0.0
2008	KA	M	0.0
2008	KC	F	0.0
2008	KC	M	0.0
2008	KE	F	0.0217
2008	KE	M	0.0279
2008	KG	F	0.0
2008	KG	M	0.0
2008	KM	F	0.0
2008	KM	M	0.0
2008	KN	F	0.0
2008	KN	M	0.0017
2008	KRI	F	0.0
2008	KRI	M	0.0
2008	KU	F	0.002
2008	KU	M	0.0017
2008	KZ	F	0.0
2008	KZ	M	0.0
2008	LA	F	0.0
2008	LA	M	0.0
2008	LE	F	0.0
2008	LE	M	0.0017
2008	LI	F	0.0059
2008	LI	M	0.0035
2008	LO	F	0.0
2008	LO	M	0.0
2008	LY	F	0.0
2008	LY	M	0.0
2008	MA	F	0.0
2008	MA	M	0.0
2008	MD	F	0.0
2008	MD	M	0.0
2008	MI	F	0.0
2008	MI	M	0.0
2008	MLT	F	0.0
2008	MLT	M	0.0
2008	MM	F	0.0
2008	MM	M	0.0
2008	MO	F	0.0
2008	MO	M	0.0
2008	MT	F	0.0
2008	MT	M	0.0
2008	MU	F	0.0
2008	MU	M	0.0
2008	MX	F	0.0296
2008	MX	M	0.014
2008	MY	F	0.0039
2008	MY	M	0.0052
2008	MZ	F	0.0
2008	MZ	M	0.0
2008	NI	F	0.0
2008	NI	M	0.0
2008	NM	F	0.0
2008	NM	M	0.0
2008	NP	F	0.0276
2008	NP	M	0.0349
2008	PAL	F	0.0
2008	PAL	M	0.0
2008	PE	F	0.0
2008	PE	M	0.0
2008	PH	F	0.0099
2008	PH	M	0.0017
2008	PK	F	0.002
2008	PK	M	0.0
2008	RG	F	0.0
2008	RG	M	0.0
2008	RO	F	0.0
2008	RO	M	0.0
2008	RS	F	0.0
2008	RS	M	0.0017
2008	RW	F	0.002
2008	RW	M	0.0035
2008	SA	F	0.0
2008	SA	M	0.0
2008	SB	F	0.0
2008	SB	M	0.0
2008	SD	F	0.0
2008	SD	M	0.0
2008	SF	F	0.0
2008	SF	M	0.0
2008	SG	F	0.0
2008	SG	M	0.0
2008	SH	F	0.0
2008	SH	M	0.0
2008	SK	F	0.002
2008	SK	M	0.0
2008	SL	F	0.0
2008	SL	M	0.0
2008	SO	F	0.0533
2008	SO	M	0.0471
2008	SR	F	0.002
2008	SR	M	0.0
2008	SSU	F	0.0
2008	SSU	M	0.0
2008	SU	F	0.002
2008	SU	M	0.0
2008	SY	F	0.0
2008	SY	M	0.0017
2008	TB	F	0.0
2008	TB	M	0.0
2008	TH	F	0.1558
2008	TH	M	0.1309
2008	TO	F	0.0
2008	TO	M	0.0
2008	TS	F	0.0
2008	TS	M	0.0
2008	TU	F	0.0
2008	TU	M	0.0
2008	TX	F	0.0
2008	TX	M	0.0
2008	TZ	F	0.0178
2008	TZ	M	0.0035
2008	UG	F	0.0
2008	UG	M	0.0035
2008	UP	F	0.0039
2008	UP	M	0.0
2008	UZ	F	0.0
2008	UZ	M	0.0
2008	VE	F	0.0
2008	VE	M	0.0
2008	VN	F	0.0079
2008	VN	M	0.0122
2008	YM	F	0.0
2008	YM	M	0.0
2008	YO	F	0.0
2008	YO	M	0.0
2008	ZA	F	0.0059
2008	ZA	M	0.0052
2008	ZI	F	0.0
2008	ZI	M	0.0
2008	ZR	F	0.0
2008	ZR	M	0.0
2009	AB	F	0.0
2009	AB	M	0.0
2009	AF	F	0.0
2009	AF	M	0.0026
2009	AJ	F	0.0
2009	AJ	M	0.0
2009	AK	F	0.0
2009	AK	M	0.0
2009	AM	F	0.0
2009	AM	M	0.0
2009	AO	F	0.0015
2009	AO	M	0.0
2009	AR	F	0.0
2009	AR	M	0.0
2009	AU	F	0.0
2009	AU	M	0.0
2009	BA	F	0.0
2009	BA	M	0.0
2009	BC	F	0.0
2009	BC	M	0.0
2009	BE	F	0.0
2009	BE	M	0.0
2009	BK	F	0.0
2009	BK	M	0.0
2009	BM	F	0.162
2009	BM	M	0.1836
2009	BO	F	0.0
2009	BO	M	0.0
2009	BR	F	0.0
2009	BR	M	0.0
2009	BT	F	0.2003
2009	BT	M	0.1849
2009	BY	F	0.0015
2009	BY	M	0.0053
2009	CB	F	0.0
2009	CB	M	0.0
2009	CD	F	0.0
2009	CD	M	0.0
2009	CE	F	0.0
2009	CE	M	0.0
2009	CG	F	0.0088
2009	CG	M	0.004
2009	CH	F	0.0
2009	CH	M	0.0
2009	CI	F	0.0
2009	CI	M	0.0
2009	CM	F	0.0029
2009	CM	M	0.0053
2009	CN	F	0.0
2009	CN	M	0.0
2009	CO	F	0.0
2009	CO	M	0.0
2009	CT	F	0.0
2009	CT	M	0.0
2009	CU	F	0.0147
2009	CU	M	0.0159
2009	DA	F	0.0
2009	DA	M	0.0
2009	DC	F	0.0133
2009	DC	M	0.0119
2009	DJ	F	0.0
2009	DJ	M	0.0
2009	EC	F	0.0
2009	EC	M	0.0
2009	EG	F	0.0
2009	EG	M	0.0
2009	ER	F	0.0088
2009	ER	M	0.0132
2009	ET	F	0.0265
2009	ET	M	0.0172
2009	GA	F	0.0
2009	GA	M	0.0013
2009	GB	F	0.0015
2009	GB	M	0.0013
2009	GG	F	0.0
2009	GG	M	0.0
2009	GH	F	0.0
2009	GH	M	0.0
2009	GT	F	0.0015
2009	GT	M	0.0
2009	GU	F	0.0
2009	GU	M	0.0
2009	HA	F	0.0
2009	HA	M	0.0
2009	HK	F	0.0
2009	HK	M	0.0
2009	HO	F	0.0
2009	HO	M	0.0
2009	ID	F	0.0
2009	ID	M	0.0
2009	IN	F	0.0
2009	IN	M	0.0
2009	IR	F	0.0353
2009	IR	M	0.0343
2009	IS	F	0.0
2009	IS	M	0.0
2009	IV	F	0.0
2009	IV	M	0.0
2009	IZ	F	0.2018
2009	IZ	M	0.2312
2009	JO	F	0.0103
2009	JO	M	0.0092
2009	KA	F	0.0
2009	KA	M	0.0
2009	KC	F	0.0
2009	KC	M	0.0
2009	KE	F	0.0604
2009	KE	M	0.0621
2009	KG	F	0.0
2009	KG	M	0.0
2009	KM	F	0.0
2009	KM	M	0.0
2009	KN	F	0.0
2009	KN	M	0.0
2009	KRI	F	0.0
2009	KRI	M	0.0
2009	KU	F	0.0044
2009	KU	M	0.0079
2009	KZ	F	0.0
2009	KZ	M	0.0
2009	LA	F	0.0
2009	LA	M	0.0
2009	LE	F	0.0029
2009	LE	M	0.0
2009	LI	F	0.0044
2009	LI	M	0.0026
2009	LO	F	0.0
2009	LO	M	0.0
2009	LY	F	0.0
2009	LY	M	0.0
2009	MA	F	0.0
2009	MA	M	0.0
2009	MD	F	0.0
2009	MD	M	0.0
2009	MI	F	0.0
2009	MI	M	0.0
2009	MLT	F	0.0
2009	MLT	M	0.0
2009	MM	F	0.0
2009	MM	M	0.0
2009	MO	F	0.0
2009	MO	M	0.0
2009	MT	F	0.0
2009	MT	M	0.0
2009	MU	F	0.0
